 -----------------------------------------------------------------------
|            Memory leaks dump (Wed Nov 13 02:34:42 2024)               |
 -----------------------------------------------------------------------

.----------------------------.-------------------.---------------------------------------.
|       SOURCE FILE          |       LINE        |        BYTES        |     ALLOC #     |
+----------------------------|-------------------|---------------------------------------+
|                            |      [0000]       |              44     |               0 |
|                            |      [0000]       |              40     |               0 |
|                            |      [0000]       |              60     |               0 |
|                            |      [0000]       |              40     |               0 |
|                            |      [0000]       |              36     |               0 |
|                            |      [0000]       |              36     |               0 |
|                            |      [0000]       |              40     |               0 |
|                            |      [0000]       |              36     |               0 |
|                            |      [0000]       |              64     |               0 |
|                            |      [0000]       |              60     |               0 |
|                            |      [0000]       |              52     |               0 |
|                            |      [0000]       |              92     |               0 |
|                            |      [0000]       |             108     |               0 |
|                            |      [0000]       |              96     |               0 |
|                            |      [0000]       |              88     |               0 |
|                            |      [0000]       |              96     |               0 |
|                            |      [0000]       |              88     |               0 |
|                            |      [0000]       |              88     |               0 |
|                            |      [0000]       |             112     |               0 |
|                            |      [0000]       |             268     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              28     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              12     |               0 |
|                            |      [0000]       |              12     |               0 |
|                            |      [0000]       |              12     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              16     |               0 |
|                            |      [0000]       |              12     |               0 |
|                            |      [0000]       |               2     |               0 |
|                            |      [0000]       |             184     |               0 |
|                            |      [0000]       |             144     |               0 |
|                            |      [0000]       |             144     |               0 |
|                            |      [0000]       |             184     |               0 |
|                            |      [0000]       |            9252     |               0 |
|                            |      [0000]       |            1680     |               0 |
|                            |      [0000]       |          574976     |               0 |
|                            |      [0000]       |            1364     |               0 |
|                            |      [0000]       |            1400     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              20     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
|                            |      [0000]       |              32     |               0 |
 -----------------------------------------------------------------------------------------

# of memory blocks lost: 70
Memory lost (bytes): app = 591886, memman overhead = 280, total = 592166 
Memman overhead/Total memory lost ratio: 0.0%
